192499947	192499947	1	0	1629481188	0	0
754494359	754494359	1	0	1629481188	0	0
229333414	229333414	1	0	1629517500	1629538637	1629538637
863062599	863062599	1	0	1629481188	0	0
689650787	689650787	1	2435912406	1629500577	1629552608	1630216917
1130561079	1130561079	1	0	1629502282	1629502360	1629508775
954482312	954482312	1	0	1629517512	0	0
1151418806	1151418806	1	2435912406	1629548320	1629548342	1629548609
462592499	462592499	1	0	1629912483	0	0
1032374298	1032374298	1	0	1629912483	0	1630218611
